Subject	Meta-Relation	Object
NELL:relatedto	rdfs:domain	NELL:everypromotedthing
NELL:earthquakecomentedby	rdfs:domain	NELL:earthquakeevent
NELL:bombinghaswitness	rdfs:domain	NELL:person
NELL:magazineisleadbyceo	rdfs:domain	NELL:magazine
NELL:colorofobject	rdfs:domain	NELL:color
NELL:musicsongisatrackofmusicalbum	rdfs:domain	NELL:musicsong
NELL:professionactsatthesameareaofpoliticissue	rdfs:domain	NELL:politicsissue
NELL:priceofproductlaunch	rdfs:domain	NELL:nonneginteger
NELL:inverseofarterycalledartery	rdfs:domain	NELL:artery
NELL:inverseofmeatcomesfromanimal	rdfs:domain	NELL:animal
NELL:athletepublishesinblog	rdfs:domain	NELL:athlete
NELL:politicianholdsoffice	rdfs:domain	NELL:politician
NELL:politicianusholdsoffice	rdfs:domain	NELL:politicianus
NELL:buildingfeaturebuiltabovelake	rdfs:domain	NELL:buildingfeature
NELL:animaleatfood	rdfs:domain	NELL:animal
NELL:insecteatsgrain	rdfs:domain	NELL:insect
NELL:invertebratefeedonfood	rdfs:domain	NELL:invertebrate
NELL:animaleatvegetable	rdfs:domain	NELL:animal
NELL:inverseofarthropodfeedoninsect	rdfs:domain	NELL:insect
NELL:inverseofbuildingispartofuniversity	rdfs:domain	NELL:university
NELL:publicationwritesabout	rdfs:domain	NELL:publication
NELL:inverseoffooddecreasestheriskofdisease	rdfs:domain	NELL:disease
NELL:colorassociatedwithvisualizableattribute	rdfs:domain	NELL:color
NELL:bombinginjured	rdfs:domain	NELL:bombingevent
NELL:academicfieldconcernssubject	rdfs:domain	NELL:academicfield
NELL:academicfieldhassubfield	rdfs:domain	NELL:academicfield
NELL:canbethesameas	rdfs:domain	NELL:everypromotedthing
NELL:celebritycanbethesameasceo	rdfs:domain	NELL:celebrity
NELL:politicalofficecanbethesameasjobposition	rdfs:domain	NELL:politicaloffice
NELL:comediancanbethesameasmale	rdfs:domain	NELL:comedian
NELL:malecanbethesameascomedian	rdfs:domain	NELL:male
NELL:scientistcanbethesameaswriter	rdfs:domain	NELL:scientist
NELL:femalecanbethesameascomedian	rdfs:domain	NELL:female
NELL:agriculturalproductcanbethesameasvegetable	rdfs:domain	NELL:agriculturalproduct
NELL:writecanbethesameasscientist	rdfs:domain	NELL:writer
NELL:comediancanbethesameasfemale	rdfs:domain	NELL:comedian
NELL:jobpositioncanbethesameaspoliticaloffice	rdfs:domain	NELL:jobposition
NELL:vegetablecanbethesameasagriculturalproduct	rdfs:domain	NELL:vegetable
NELL:ceocanbethesameascelebrity	rdfs:domain	NELL:ceo
NELL:personafricacanbethesameaswriter	rdfs:domain	NELL:personafrica
NELL:athletecanbethesameasactor	rdfs:domain	NELL:athlete
NELL:writercanbethesameaspersonafrica	rdfs:domain	NELL:writer
NELL:actorcanbethesameasathlete	rdfs:domain	NELL:actor
NELL:protesthadweapon	rdfs:domain	NELL:protestevent
NELL:locationofprotest	rdfs:domain	NELL:location
NELL:sportsgameloserscore	rdfs:domain	NELL:sportsgame
